"lat"	"lon"
38.73273	-9.149231
38.76779	-9.122146
38.75246	-9.169735
38.76091	-9.139309
38.75408	-9.197341
38.7334	-9.136407
38.74495	-9.136562
38.71357	-9.15644
38.73125	-9.142478
38.72315	-9.13279
38.75468	-9.179601
38.73327	-9.131129
38.73285	-9.139453
38.70631	-9.176328
38.75286	-9.204578
38.75353	-9.155092
38.71906	-9.155377
38.72738	-9.163581
38.76161	-9.171429
38.76501	-9.117157
38.73914	-9.120792
38.71876	-9.167241
38.71441	-9.13576
38.76582	-9.152683
38.75831	-9.170566
38.78054	-9.098541
38.75577	-9.13401
38.74005	-9.14454
38.70297	-9.194126
38.74366	-9.136714
38.73107	-9.132621
38.71334	-9.14913
38.71576	-9.16447
38.78303	-9.115912
38.7401	-9.130357
38.73217	-9.128062
38.73583	-9.149258
38.76195	-9.115753
38.73499	-9.13409
38.7491	-9.138055
38.74505	-9.137835
38.74603	-9.189716
38.74954	-9.142216
38.7331	-9.129209
38.78131	-9.09496
38.76112	-9.164787
38.73146	-9.130121
38.71514	-9.164124
38.73338	-9.131554
38.7321	-9.135232
38.73461	-9.149766
38.728	-9.164023
38.72369	-9.140999
38.73299	-9.120713
38.76284	-9.160197
38.7541	-9.204617
38.75245	-9.134505
38.72462	-9.16133
38.75438	-9.142493
38.73163	-9.138473
38.74842	-9.171523
38.73045	-9.135394
38.76024	-9.105924
38.70406	-9.168974
38.75524	-9.197356
38.73208	-9.163175
38.76297	-9.154011
38.70961	-9.153918
38.7302	-9.139466
38.72781	-9.136853
38.76142	-9.173819
38.74807	-9.142846
38.76981	-9.098343
38.74443	-9.141642
38.73249	-9.173175
38.74801	-9.168196
38.75187	-9.143277
38.72434	-9.118285
38.73283	-9.139721
38.78007	-9.163575
38.76601	-9.171511
38.75068	-9.172405
38.76749	-9.156997
38.74244	-9.136879
38.73078	-9.129825
38.7353	-9.144116
38.7548	-9.134215
38.75899	-9.168531
38.74876	-9.182465
38.71625	-9.13393
38.75657	-9.202551
38.74212	-9.128162
38.73789	-9.149016
38.74439	-9.144948
38.73971	-9.143447
38.75011	-9.161856
38.78304	-9.162787
38.73467	-9.14906
38.71272	-9.168442
38.7464	-9.142089
38.73642	-9.124761
38.76475	-9.155926
38.74459	-9.153675
38.73219	-9.139084
38.79012	-9.15499
38.72452	-9.160325
38.75658	-9.098317
38.73573	-9.150752
38.73759	-9.132981
38.74199	-9.137993
38.74783	-9.145321
38.7276	-9.120247
38.74526	-9.156793
38.77788	-9.097069
38.7301	-9.147916
38.75721	-9.121814
38.74835	-9.188372
38.78288	-9.094574
38.74545	-9.135742
38.72765	-9.130529
38.74783	-9.139333
38.7304	-9.125098
38.72638	-9.135433
38.71677	-9.135229
38.73513	-9.127822
38.73132	-9.135847
38.71821	-9.160012
38.7761	-9.162495
38.73105	-9.140721
38.72696	-9.135584
38.73913	-9.15135
38.70409	-9.207038
38.73894	-9.120596
38.73763	-9.143051
38.77871	-9.158722
38.79226	-9.093053
38.74	-9.150241
38.72129	-9.151715
38.71555	-9.145547
38.72631	-9.135584
38.73082	-9.146918
38.72709	-9.142788
38.73394	-9.137344
38.7666	-9.1791
38.74702	-9.110614
38.73524	-9.134772
38.75452	-9.146571
38.73629	-9.131217
38.76003	-9.140081
38.78357	-9.095335
38.73167	-9.139924
38.73666	-9.15036
38.76008	-9.176713
38.76304	-9.11909
38.75708	-9.16792
38.73155	-9.132447
38.73519	-9.130802
38.71135	-9.13178
38.72777	-9.131731
38.732	-9.133463
38.73036	-9.146963
38.73347	-9.139806
38.7353	-9.122648
38.75846	-9.153948
38.76661	-9.1586
38.72256	-9.152727
38.76028	-9.13794
38.71956	-9.159453
38.75772	-9.168882
38.75538	-9.149897
38.74683	-9.145655
38.72176	-9.160079
38.72658	-9.118329
38.76934	-9.121404
38.76895	-9.157509
38.73415	-9.131284
38.75501	-9.148717
38.73943	-9.138932
38.72058	-9.159455
38.74397	-9.157129
38.75739	-9.096592
38.72679	-9.133841
38.73711	-9.146585
38.73336	-9.13152
38.71156	-9.14581
38.73498	-9.113543
38.74514	-9.157392
38.73458	-9.151357
38.71494	-9.16631
38.74756	-9.153386
38.72217	-9.126246
38.76016	-9.181464
38.72884	-9.135506
38.77918	-9.118722
38.72429	-9.130466
38.78129	-9.098037
38.75154	-9.167092
38.78028	-9.162227
38.73431	-9.126925
38.73635	-9.136327
